date,open,high,low,close,volume,rsi
2021-05-18,56.209999,56.369999,55.990002,55.990002,6982700.0,57.467498503375424
2021-05-17,55.490002,55.880001,55.43,55.880001,5528200.0,57.307144145208376
2021-05-14,55.240002,55.380001,55.080002,55.209999,5198500.0,56.32425229979003
2021-05-13,54.459999,55.220001,54.43,55.049999,7311600.0,56.087656462376344
2021-05-12,54.720001,55.02,54.380001,54.5,8345500.0,55.27141260407114
2021-05-11,53.330002,54.189999,53.330002,54.099998,7480100.0,54.67087951426027
2021-05-10,54.549999,54.700001,54.169998,54.380001,8362000.0,55.179100948142164
2021-05-07,53.529999,54.049999,53.529999,53.810001,4775900.0,54.33217489550811
2021-05-06,53.27,53.52,52.970001,53.48,5502400.0,53.837268687383826
2021-05-05,53.27,53.700001,53.080002,53.650002,7360500.0,54.13344004030844
2021-05-04,53.27,53.380001,52.740002,52.93,8149700.0,53.06169071069165
2021-05-03,53.369999,53.740002,53.119999,53.700001,6636700.0,54.393769365663324
2021-04-30,53.27,54.560001,52.939999,53.07,15298000.0,53.45689762569656
2021-04-29,52.259998,52.279999,50.66,51.369999,11150900.0,50.7832582237219
2021-04-28,52.360001,52.599998,51.93,52.080002,8145100.0,52.00600948111217
2021-04-27,52.799999,52.810001,52.310001,52.369999,8342200.0,52.51210957666057
2021-04-26,52.450001,52.48,51.990002,52.369999,6451500.0,52.51210957666057
2021-04-23,52.740002,52.759998,52.16,52.259998,6562700.0,52.343157539609585
2021-04-22,53.07,53.099998,52.43,52.709999,9436000.0,53.10055268640898
2021-04-21,52.919998,53.18,52.689999,53.110001,11431700.0,53.778421115678455
2021-04-20,52.09,52.349998,51.950001,52.27,13942400.0,52.531333065005434
2021-04-19,51.639999,51.810001,51.25,51.630001,16120700.0,51.55539254309066
2021-04-16,50.799999,51.009998,50.610001,50.740002,22166200.0,50.158894667996144
2021-04-15,50.740002,51.290001,50.599998,50.830002,13903000.0,50.302597164504526
2021-04-14,50.040001,50.32,49.740002,49.84,11863600.0,48.718820275404546
2021-04-13,49.209999,49.599998,48.959999,49.189999,7733900.0,47.645275367605514
2021-04-12,49.830002,49.919998,49.369999,49.419998,7890500.0,47.99368027322417
2021-04-09,50.150002,50.16,49.68,49.939999,7432200.0,48.78408011935837
2021-04-08,49.669998,49.799999,49.43,49.5,10361300.0,48.074970906339395
2021-04-07,49.060001,49.119999,48.259998,48.419998,9469100.0,46.28603701416382
2021-04-06,49.450001,49.68,49.16,49.220001,7127800.0,47.473336923437174
2021-04-05,49.41,49.799999,49.400002,49.529999,5294000.0,47.940323881794576
2021-04-01,49.610001,49.790001,49.330002,49.529999,5958600.0,47.940323881794576
2021-03-31,50.040001,50.130001,49.700001,49.720001,6688300.0,48.219532888374886
2021-03-30,50.139999,50.169998,49.689999,49.970001,7084800.0,48.58439872735699
2021-03-29,50.549999,51.060001,50.48,50.810001,8652400.0,49.82585174792536
2021-03-26,49.560001,50.669998,49.48,50.639999,9707500.0,49.570275273438334
2021-03-25,48.93,49.790001,48.810001,49.700001,6800200.0,48.13880490891253
2021-03-24,49.130001,49.299999,48.759998,48.790001,6482600.0,46.70353117253416
2021-03-23,49.950001,50.209999,49.16,49.400002,10891800.0,47.56835080990067
